ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	5304	5746	73797	73857	4423	4543	77752	77811
1	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	23650	23747	73797	73857	22294	22648	77752	77811
2	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	23650	23747	37733	37835	22301	22648	77752	77811
3	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	32778	32825	73797	73857	4455	4543	77752	77811
4	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	36141	36341	73797	73857	35525	35747	77752	77811
5	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	36141	36341	37733	37835	35643	35747	73797	73857
6	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	37733	37835	73797	73857	22301	22648	77752	77811
7	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	37733	37835	73797	73857	25403	25662	77752	77811
8	"ENSG00000304745.1"	"ENSG00000304745"	chrGL000221.1	-	37733	37835	73797	73857	36097	36341	77752	77811
9	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	28352	28387	92040	92100	9663	9922	95173	95232
10	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	39115	39203	39582	39770	38789	39019	39873	40028
11	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	39115	39377	39582	39770	38789	39019	39873	40028
12	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	45542	45769	47913	47967	40641	40872	95173	95232
13	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	45542	45769	47913	48142	40641	40872	95173	95232
14	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	45542	45769	63816	64019	40641	40872	95173	95232
15	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	45542	45769	92040	92100	40641	40872	95173	95232
16	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	47913	47967	63816	64019	40641	40872	95173	95232
17	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	47913	47967	92040	92100	40641	40872	95173	95232
18	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	47913	48142	63816	64019	40641	40872	95173	95232
19	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	47913	48142	92040	92100	40641	40872	95173	95232
20	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	55881	55978	58249	58407	46851	48142	95173	95232
21	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	55881	55978	63816	64019	46851	48142	95173	95232
22	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	55881	55978	69416	69460	46851	48142	95173	95232
23	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	55881	55978	88536	89058	46851	48142	95173	95232
24	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	55881	55978	94558	94829	46851	48142	95173	95232
25	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	58249	58407	63816	64019	46851	48142	95173	95232
26	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	58249	58407	69416	69460	46851	48142	95173	95232
27	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	58249	58407	88536	89058	46851	48142	95173	95232
28	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	58249	58407	94558	94829	46851	48142	95173	95232
29	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	63816	64019	92040	92100	40641	40872	95173	95232
30	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	63816	64019	92040	92100	46655	48142	95173	95232
31	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	63816	64019	69416	69460	46851	48142	95173	95232
32	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	63816	64019	88536	89058	46851	48142	95173	95232
33	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	63816	64019	94558	94829	46851	48142	95173	95232
34	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	69416	69460	88536	89058	46851	48142	95173	95232
35	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	69416	69460	94558	94829	46851	48142	95173	95232
36	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	88536	89058	94558	94829	46851	48142	95173	95232
37	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	96506	96594	96644	96930	95173	95232	97367	97418
38	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	96506	96594	96644	96885	95173	95232	97367	97427
39	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	96644	96745	96775	96885	95173	95232	97367	97417
40	"ENSG00000303173.1"	"ENSG00000303173"	chrGL000214.1	+	31145	31165	31215	31303	30356	30442	32576	32635
41	"ENSG00000303173.1"	"ENSG00000303173"	chrGL000214.1	+	31145	31165	31215	31303	30356	30565	32576	32635
42	"ENSG00000303173.1"	"ENSG00000303173"	chrGL000214.1	+	36876	36936	49986	50136	32576	32635	56530	56774
43	"ENSG00000303173.1"	"ENSG00000303173"	chrGL000214.1	+	58421	58518	61519	61617	32576	32635	67365	67499
44	"ENSG00000303173.1"	"ENSG00000303173"	chrGL000214.1	+	61519	61617	67365	67448	32576	32635	67693	68327
45	"ENSG00000303173.1"	"ENSG00000303173"	chrGL000214.1	+	61519	61617	67365	67499	32576	32635	67693	68327
46	"ENSG00000308185.1"	"ENSG00000308185"	chrGL000195.1	+	140413	140516	140547	140875	138016	138140	142142	142240
47	"ENSG00000308185.1"	"ENSG00000308185"	chrGL000195.1	+	140424	140516	140547	140875	138016	138140	142142	142240
48	"ENSG00000308185.1"	"ENSG00000308185"	chrGL000195.1	+	142124	142240	157161	157220	140413	140516	172693	172897
49	"ENSG00000308185.1"	"ENSG00000308185"	chrGL000195.1	+	142124	142240	164903	165063	140413	140516	172693	172897
50	"ENSG00000308185.1"	"ENSG00000308185"	chrGL000195.1	+	142124	142240	167611	167870	140413	140516	172693	172897
51	"ENSG00000308185.1"	"ENSG00000308185"	chrGL000195.1	+	142142	142240	150404	150460	140424	140516	151954	152034
52	"ENSG00000308185.1"	"ENSG00000308185"	chrGL000195.1	+	143416	143629	149088	149164	142142	142240	151954	152034
53	"ENSG00000308185.1"	"ENSG00000308185"	chrGL000195.1	+	143416	143629	149088	149175	142142	142240	151954	152034
54	"ENSG00000308185.1"	"ENSG00000308185"	chrGL000195.1	+	143416	143629	149088	149164	142142	142240	172693	172897
55	"ENSG00000308185.1"	"ENSG00000308185"	chrGL000195.1	+	143416	143629	151954	152034	142142	142240	172693	172897
56	"ENSG00000308185.1"	"ENSG00000308185"	chrGL000195.1	+	143416	143629	163800	163895	142142	142240	172693	172897
57	"ENSG00000308185.1"	"ENSG00000308185"	chrGL000195.1	+	143416	143629	167732	167870	142142	142240	172693	172897
58	"ENSG00000308185.1"	"ENSG00000308185"	chrGL000195.1	+	149088	149164	151954	152034	142142	142240	172693	172897
59	"ENSG00000308185.1"	"ENSG00000308185"	chrGL000195.1	+	149088	149164	163800	163895	142142	142240	172693	172897
60	"ENSG00000308185.1"	"ENSG00000308185"	chrGL000195.1	+	149088	149164	167732	167870	142142	142240	172693	172897
61	"ENSG00000308185.1"	"ENSG00000308185"	chrGL000195.1	+	151954	152034	163800	163895	142142	142240	172693	172897
62	"ENSG00000308185.1"	"ENSG00000308185"	chrGL000195.1	+	151954	152034	167732	167870	142142	142240	172693	172897
63	"ENSG00000308185.1"	"ENSG00000308185"	chrGL000195.1	+	157161	157220	164903	165063	140413	140516	172693	172897
64	"ENSG00000308185.1"	"ENSG00000308185"	chrGL000195.1	+	157161	157220	167611	167870	140413	140516	172693	172897
65	"ENSG00000308185.1"	"ENSG00000308185"	chrGL000195.1	+	157170	157220	164903	165063	149088	149164	172693	172897
66	"ENSG00000308185.1"	"ENSG00000308185"	chrGL000195.1	+	163800	163895	167732	167870	142142	142240	172693	172897
67	"ENSG00000308185.1"	"ENSG00000308185"	chrGL000195.1	+	164903	165063	167611	167870	140413	140516	172693	172897
68	"ENSG00000298772.1"	"ENSG00000298772"	chrGL000194.1	+	51894	52036	55454	55586	49027	49194	56881	57425
69	"ENSG00000223641.3"	"TTTY17C"	chrY	-	25194964	25195081	25200603	25200712	25184713	25184838	25213319	25213389
70	"ENSG00000291033.2"	"TXLNGY"	chrY	+	19588369	19588411	19588542	19588650	19587209	19587507	19589520	19589612
71	"ENSG00000291031.2"	"BCORP1"	chrY	-	19555849	19555964	19556010	19556109	19555389	19555554	19557229	19557289
72	"ENSG00000291031.2"	"BCORP1"	chrY	-	19555849	19555964	19556010	19556189	19555389	19555554	19558023	19558140
73	"ENSG00000291031.2"	"BCORP1"	chrY	-	19555849	19555964	19557229	19557289	19555389	19555554	19558023	19558140
74	"ENSG00000291031.2"	"BCORP1"	chrY	-	19555849	19555964	19557229	19557289	19555389	19555554	19558039	19558140
75	"ENSG00000291031.2"	"BCORP1"	chrY	-	19555849	19555968	19556010	19556189	19555389	19555554	19558023	19558140
76	"ENSG00000291031.2"	"BCORP1"	chrY	-	19555849	19555968	19557229	19557289	19555389	19555554	19558023	19558140
77	"ENSG00000291031.2"	"BCORP1"	chrY	-	19555849	19555968	19557229	19557289	19555389	19555554	19558039	19558140
