ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
12	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	39203	38785	39019	39115	39203	12	25,11	2,0	24,29	7,2	245	149	0.0207380199111	0.08152746189171725	0.884,1.0	0.676,0.898	0.155
14	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	40028	38780	39019	39873	40028	14	73,62	0,1	68,55	0,0	1003	149	1	1.0	1.0,0.902	1.0,1.0	-0.049
15	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	40028	38780	39059	39873	40028	15	70,61	1,0	67,53	4,0	963	149	1	1.0	0.915,1.0	0.722,1.0	0.097
16	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	40028	38780	39088	39873	40028	16	62,58	9,6	63,51	5,2	934	149	0.10861605588	0.2948742941153456	0.524,0.607	0.668,0.803	-0.17
20	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	40028	38785	39203	39873	40028	20	55,52	1,2	51,39	10,4	819	149	0.00129911994681	0.009017692277324121	0.909,0.825	0.481,0.639	0.307
21	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	40872	38780	40028	40641	40872	21	54,40	31,14	47,30	16,13	762	149	0.485747802614	0.8591547466012728	0.254,0.358	0.365,0.311	-0.032
39	"ENSG00000303853.1"	"ENSG00000303853"	chrGL000195.1	-	83299	84295	83299	84116	84215	84295	39	1,2	0,0	5,2	0,2	248	149	0.33702651351	0.6735359830207517	1.0,1.0	1.0,0.375	0.312
55	"ENSG00000071889.17"	"FAM3A"	chrX	-	154515759	154516242	154515759	154515812	154515909	154516242	55	56,67	9,13	65,33	13,6	246	149	0.834865627689	1.0	0.79,0.757	0.752,0.769	0.013
56	"ENSG00000071859.15"	"FAM50A"	chrX	+	154449680	154449931	154449680	154449735	154449882	154449931	56	60,55	570,494	54,48	641,479	296	149	0.336323164042	0.6723022634660543	0.05,0.053	0.041,0.048	0.007
57	"ENSG00000196924.19"	"FLNA"	chrX	-	154350030	154351696	154350030	154350207	154350908	154351696	57	840,780	1233,1153	649,450	1474,1033	850	149	8.38853408774e-05	0.0009366397489967977	0.107,0.106	0.072,0.071	0.035
