ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
12	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	39203	38785	39019	39115	39203	12	19,8,6	2,0,0	16,12,4	0,2,6	245	149	0.00351191452297	0.11666372590440004	0.852,1.0,1.0	1.0,0.785,0.288	0.26
15	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	40028	38780	39059	39873	40028	15	38,32,30	1,0,1	64,42,41	0,0,0	963	149	1	1.0	0.855,1.0,0.823	1.0,1.0,1.0	-0.107
16	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	40028	38780	39088	39873	40028	16	34,31,30	1,0,2	61,40,41	2,3,1	934	149	0.146265583101	0.7521547588204918	0.844,1.0,0.705	0.83,0.68,0.867	0.057
20	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	40028	38785	39203	39873	40028	20	25,26,25	2,1,0	55,36,39	0,1,2	819	149	0.744399316627	1.0	0.695,0.825,1.0	1.0,0.868,0.78	-0.043
21	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	40872	38780	40028	40641	40872	21	32,27,33	19,15,11	41,32,33	34,23,22	762	149	0.114148803539	0.6842598042295857	0.248,0.26,0.37	0.191,0.214,0.227	0.082
54	"ENSG00000269335.7"	"IKBKG"	chrX	+	154561687	154562953	154561687	154561784	154562809	154562953	54	2,0,0	0,0,2	0,0,1	0,3,1	1174	149	1	1.0	1.0,NA,0.0	NA,0.0,0.113	0.444
55	"ENSG00000071889.17"	"FAM3A"	chrX	-	154515759	154516242	154515759	154515812	154515909	154516242	55	49,71,42	5,7,16	71,78,59	6,6,7	246	149	0.0906925744743	0.621970939752756	0.856,0.86,0.614	0.878,0.887,0.836	-0.09
56	"ENSG00000071859.15"	"FAM50A"	chrX	+	154449680	154449931	154449680	154449735	154449882	154449931	56	73,118,83	602,691,474	128,123,94	863,702,517	296	149	0.526250820684	1.0	0.058,0.079,0.081	0.069,0.081,0.084	-0.005
57	"ENSG00000196924.19"	"FLNA"	chrX	-	154350030	154351696	154350030	154350207	154350908	154351696	57	1200,1586,1088	1389,1597,1218	1762,1500,1279	2053,1510,1173	850	149	0.485906380454	1.0	0.132,0.148,0.135	0.131,0.148,0.16	-0.008
58	"ENSG00000196924.19"	"FLNA"	chrX	-	154350030	154351696	154350030	154350207	154351580	154351696	58	1668,2063,1509	0,0,0	2416,2068,1777	0,2,0	1522	149	1	1.0	1.0,1.0,1.0	1.0,0.99,1.0	0.003
59	"ENSG00000196924.19"	"FLNA"	chrX	-	154350908	154351696	154350908	154351041	154351580	154351696	59	496,510,429	1056,1247,863	673,593,519	1522,1158,1025	688	149	0.512227798045	1.0	0.092,0.081,0.097	0.087,0.1,0.099	-0.005
61	"ENSG00000102030.16"	"NAA10"	chrX	-	153930762	153932431	153930762	153930847	153932070	153932431	61	245,261,251	681,809,645	341,292,224	1124,933,660	1372	149	0.269322166485	0.9711105906554971	0.038,0.034,0.041	0.032,0.033,0.036	0.004
62	"ENSG00000102030.16"	"NAA10"	chrX	-	153930762	153932431	153930762	153930847	153932315	153932431	62	260,279,270	0,0,0	350,314,231	3,1,0	1617	149	0.466528223956	1.0	1.0,1.0,1.0	0.915,0.967,1.0	0.039
63	"ENSG00000102030.16"	"NAA10"	chrX	-	153932070	153932431	153932070	153932115	153932315	153932431	63	75,64,59	668,746,597	66,84,74	1118,868,565	349	149	0.505670067132	1.0	0.046,0.035,0.04	0.025,0.04,0.053	0.001
65	"ENSG00000185247.15"	"MAGEA11"	chrX	+	149713142	149714576	149713142	149713255	149714480	149714576	65	0,4,4	0,0,0	2,2,0	2,0,0	1374	149	1	1.0	NA,1.0,1.0	0.098,1.0,NA	0.451
77	"ENSG00000147224.13"	"PRPS1"	chrX	+	107649939	107651026	107649939	107650522	107650577	107651026	77	60,55,40	1,1,0	55,55,38	0,1,0	204	149	1	1.0	0.978,0.976,1.0	1.0,0.976,1.0	-0.007
78	"ENSG00000166707.12"	"ZCCHC18"	chrX	+	104113433	104115842	104113433	104113573	104115251	104115842	78	13,20,12	0,6,0	6,30,15	0,0,2	1827	149	0.101545936504	0.650863717133487	1.0,0.214,1.0	1.0,1.0,0.38	-0.055
80	"ENSG00000133142.19"	"TCEAL4"	chrX	+	103585858	103586291	103585858	103586107	103586218	103586291	80	48,39,42	5,4,4	50,41,26	11,6,2	260	149	0.246602178384	0.9370168679619846	0.846,0.848,0.857	0.723,0.797,0.882	0.05
82	"ENSG00000196440.12"	"ARMCX4"	chrX	+	101531643	101533459	101531643	101532012	101533083	101533459	82	5,6,3	2,10,3	6,6,1	8,4,3	1220	149	0.846415366199	1.0	0.234,0.068,0.109	0.084,0.155,0.039	0.044
83	"ENSG00000102384.14"	"CENPI"	chrX	+	101098203	101098539	101098203	101098248	101098443	101098539	83	10,11,7	14,8,14	26,17,12	14,20,8	344	149	0.139042516249	0.7366633448374004	0.236,0.373,0.178	0.446,0.269,0.394	-0.107
